Mob,Strategy,0.0
N64,Action,10.750000000000002
N64,Adventure,0.39
N64,Fighting,16.860000000000007
N64,Misc,3.9200000000000004
N64,Platform,7.3500000000000005
N64,Puzzle,3.4100000000000006
N64,Racing,14.609999999999998
N64,Role-Playing,1.6
N64,Shooter,12.009999999999998
N64,Simulation,1.4400000000000002
N64,Sports,27.499999999999996
N64,Strategy,0.78
NES,Action,5.7
NES,Adventure,0.0
NES,Board Game,0.0
NES,Fighting,1.12
NES,Misc,0.0
NES,Platform,16.79
NES,Puzzle,6.380000000000001
NES,Racing,0.0
NES,Role-Playing,4.470000000000001
NES,Shooter,6.04
NES,Simulation,0.0
NES,Sports,7.43
NES,Strategy,0.0
NG,Action,0.0
NG,Fighting,1.4200000000000004
NG,Misc,0.0
NG,Platform,0.0
NG,Puzzle,0.0
NG,Role-Playing,0.0
NG,Shooter,0.0
NG,Sports,0.02
NGage,Action,0.0
NGage,Adventure,0.0
NGage,Fighting,0.0
NGage,Misc,0.0
NGage,Platform,0.0
NGage,Puzzle,0.0
NGage,Racing,0.0
NGage,Role-Playing,0.0
NGage,Shooter,0.0
NGage,Simulation,0.0
NGage,Sports,0.0
NGage,Strategy,0.0
NS,Action,8.759999999999996
NS,Action-Adventure,1.2800000000000002
NS,Adventure,1.7700000000000005
NS,Board Game,0.31
NS,Education,0.0
NS,Fighting,1.7000000000000002
NS,MMO,0.1
NS,Misc,1.7700000000000005
NS,Music,2.299999999999999
NS,Party,0.4
NS,Platform,5.52
NS,Puzzle,1.87
NS,Racing,1.4000000000000004
NS,Role-Playing,10.969999999999997
NS,Sandbox,1.89
NS,Shooter,1.51
NS,Simulation,1.12
NS,Sports,3.9899999999999993
NS,Strategy,3.159999999999999
NS,Visual Novel,0.060000000000000005
OSX,Action,0.0
OSX,Action-Adventure,0.0
OSX,Adventure,0.0
OSX,Fighting,0.0
OSX,MMO,0.0
OSX,Misc,0.0
OSX,Music,0.0
OSX,Platform,0.0
OSX,Puzzle,0.0
OSX,Racing,0.0
OSX,Role-Playing,0.0
OSX,Shooter,0.0
OSX,Simulation,0.0
OSX,Sports,0.0
OSX,Strategy,0.03
OSX,Visual Novel,0.0
Ouya,Action,0.0
Ouya,Adventure,0.0
Ouya,Misc,0.0
Ouya,Puzzle,0.0
Ouya,Racing,0.0
Ouya,Role-Playing,0.0
PC,Action,11.259999999999975
PC,Action-Adventure,2.789999999999999
PC,Adventure,7.619999999999986
PC,Board Game,0.0
PC,Education,0.0
PC,Fighting,0.4
